# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
ENSG00000286752.1	AC022509.5	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286753.1	AC091978.1	lncRNA	19	5	14	0.4079	0.1239	0.1287
ENSG00000286754.1	AL031290.1	lncRNA	1	1	0	0.0615	0.0187	0.0194
ENSG00000286755.1	AC135893.1	lncRNA	3	9	20	0.0963	0.0293	0.0304
ENSG00000286756.1	AP000769.6	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286757.2	AL137139.2	lncRNA	10	180	201	0.0461	0.0140	0.0146
ENSG00000286758.1	AL445438.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286759.1	AC092718.9	lncRNA	7	6	8	0.3063	0.0930	0.0967
ENSG00000286760.1	AL022069.3	lncRNA	168	82	86	1.7662	0.5364	0.5574
ENSG00000286761.1	AC112242.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286763.1	AC012533.1	lncRNA	2	2	0	0.0300	0.0091	0.0095
ENSG00000286764.1	AC188617.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286765.1	AP005899.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286766.1	AC091010.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286767.1	AL023877.1	lncRNA	1	1	0	0.0561	0.0170	0.0177
ENSG00000286769.1	AC064869.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286770.1	AC100825.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286771.1	AC097658.3	lncRNA	3	1	2	0.0929	0.0282	0.0293
ENSG00000286772.1	AC009410.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286773.1	AL353593.3	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286774.1	AL122003.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286775.1	AL355526.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286776.1	AC093610.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286777.1	AC012301.2	lncRNA	1	1	0	0.0523	0.0159	0.0165
ENSG00000286778.1	AC013265.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286779.1	AL139081.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286780.1	AL139379.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286781.1	AC099332.1	lncRNA	19	11	8	0.5446	0.1654	0.1719
ENSG00000286782.1	AL355377.3	lncRNA	16	7	9	0.3285	0.0998	0.1037
ENSG00000286784.1	AC116611.1	lncRNA	1	1	0	0.0123	0.0037	0.0039
ENSG00000286785.1	LINC01622	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286786.1	AC116158.3	lncRNA	7	17	24	0.0446	0.0135	0.0141
ENSG00000286787.1	AL110114.1	lncRNA	40	19	21	0.2179	0.0662	0.0688
ENSG00000286788.1	AC004687.3	lncRNA	8	8	3	0.0590	0.0179	0.0186
ENSG00000286789.1	AL161645.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286790.1	AC010494.1	lncRNA	0	197	228	0.0000	0.0000	0.0000
ENSG00000286791.1	AC079949.5	lncRNA	1	0	1	0.0321	0.0098	0.0101
ENSG00000286792.1	AC005703.6	lncRNA	3	3	1	0.0762	0.0232	0.0241
ENSG00000286793.1	CR848007.3	transcribed_unprocessed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000286794.1	Z70719.1	lncRNA	1	0	1	0.0870	0.0264	0.0274
ENSG00000286795.1	AL161652.1	lncRNA	1	1	0	0.0430	0.0131	0.0136
ENSG00000286796.1	AC010883.2	lncRNA	4	2	2	0.0667	0.0203	0.0211
ENSG00000286797.1	AC009315.1	lncRNA	1	0	1	0.0116	0.0035	0.0037
ENSG00000286798.1	AC022832.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286799.1	AC124066.1	lncRNA	2	1	1	0.1348	0.0409	0.0425
ENSG00000286800.1	AC090348.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286801.1	BX546033.1	lncRNA	5	5	5	0.1211	0.0368	0.0382
ENSG00000286802.1	AC104459.1	lncRNA	12	10	14	0.1411	0.0428	0.0445
ENSG00000286803.1	AL109824.1	lncRNA	1	334	330	0.0687	0.0209	0.0217
ENSG00000286804.1	AC025871.3	lncRNA	3	4	0	0.1485	0.0451	0.0469
ENSG00000286805.1	AL138716.1	lncRNA	2	2	0	0.0632	0.0192	0.0200
ENSG00000286806.1	AC080005.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286807.1	AC093639.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286808.1	AC092338.3	lncRNA	44	822	787	1.0692	0.3247	0.3375
ENSG00000286809.1	AC008964.1	lncRNA	6	4	2	0.1820	0.0553	0.0574
ENSG00000286810.1	AL513128.3	lncRNA	12	5	7	0.2867	0.0871	0.0905
ENSG00000286811.1	AL353138.1	lncRNA	17	10	7	0.8689	0.2639	0.2742
ENSG00000286812.1	AP001120.5	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286813.1	AC015871.6	lncRNA	5	3	2	0.0935	0.0284	0.0295
ENSG00000286815.1	AP005242.5	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286816.1	AP005273.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286817.1	AC105339.6	lncRNA	1	2	2	0.0341	0.0104	0.0108
ENSG00000286818.1	AC008496.3	lncRNA	1	1	0	0.0101	0.0031	0.0032
ENSG00000286819.1	Z98745.1	lncRNA	2	0	2	0.0609	0.0185	0.0192
ENSG00000286820.1	AL590027.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286821.1	AC019193.4	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286822.1	AC112504.3	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286823.1	AL583829.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286824.1	AL353704.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286825.1	AL096870.10	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286826.1	AL136129.1	lncRNA	12	7	5	0.2709	0.0823	0.0855
ENSG00000286827.1	AC072026.2	lncRNA	1	1	0	0.0087	0.0027	0.0028
ENSG00000286828.1	AC008883.3	lncRNA	14	6	8	0.2392	0.0726	0.0755
ENSG00000286829.1	AC093798.1	lncRNA	1	1	0	0.0168	0.0051	0.0053
ENSG00000286830.1	AC105052.5	lncRNA	33	17	16	1.0138	0.3079	0.3200
ENSG00000286831.1	AC244472.1	lncRNA	1	0	1	0.0201	0.0061	0.0064
ENSG00000286832.1	AL157831.3	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286833.1	AC097532.3	lncRNA	22	15	7	0.5894	0.1790	0.1860
ENSG00000286834.1	AL360020.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286835.1	AL133477.1	lncRNA	16	9	7	1.0041	0.3049	0.3169
ENSG00000286836.1	AC092844.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286837.1	AC087533.1	lncRNA	1	64	79	0.0273	0.0083	0.0086
ENSG00000286838.1	AL356379.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286839.1	AC093240.1	lncRNA	1	0	1	0.0199	0.0060	0.0063
ENSG00000286840.1	AL451127.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286841.1	AC010528.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286842.1	AL353752.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286843.1	AL160159.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286844.1	AC068688.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286845.1	AC007343.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286846.1	Z93943.1	lncRNA	4	4	0	0.0442	0.0134	0.0140
ENSG00000286847.1	AC007036.5	lncRNA	0	50	51	0.0000	0.0000	0.0000
ENSG00000286848.1	AC009570.2	lncRNA	4	1836	1956	0.2017	0.0613	0.0637
ENSG00000286849.1	AC009152.6	lncRNA	1	1	0	0.0255	0.0078	0.0081
ENSG00000286850.1	AL358232.2	lncRNA	6	4	2	0.3406	0.1034	0.1075
ENSG00000286851.1	AC097517.1	lncRNA	0	1	0	0.0000	0.0000	0.0000
ENSG00000286852.1	AP000696.3	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286853.1	AC008786.1	lncRNA	4	2	2	0.2081	0.0632	0.0657
ENSG00000286854.1	AC079382.2	lncRNA	1	0	1	0.0349	0.0106	0.0110
ENSG00000286855.1	AC074024.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286856.1	AC061708.1	lncRNA	2	1	1	0.1812	0.0550	0.0572
ENSG00000286857.1	AC007463.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286858.1	AL355361.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286859.1	AL158214.2	lncRNA	14	1426	1502	0.2718	0.0825	0.0858
ENSG00000286860.1	AC093840.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286861.1	AL049779.4	lncRNA	11	4	7	0.1445	0.0439	0.0456
ENSG00000286862.1	AC017037.5	lncRNA	3	1	2	0.1725	0.0524	0.0544
ENSG00000286863.1	AL513166.1	lncRNA	20	10	10	0.1279	0.0388	0.0404
ENSG00000286864.1	AC012076.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286865.1	AL391097.3	lncRNA	1	0	1	0.0671	0.0204	0.0212
ENSG00000286866.1	AC006063.3	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286867.1	AC008798.3	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286868.1	AC074290.1	lncRNA	1	0	1	0.0516	0.0157	0.0163
ENSG00000286869.1	AC022276.1	lncRNA	1	1	0	0.0194	0.0059	0.0061
ENSG00000286870.1	AL121981.1	lncRNA	2	0	2	0.0524	0.0159	0.0165
ENSG00000286871.1	AL139090.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286872.1	AC024270.4	lncRNA	15	6	9	0.2489	0.0756	0.0785
ENSG00000286873.1	AC012306.3	lncRNA	65	30	35	2.5240	0.7665	0.7966
ENSG00000286874.1	AC072054.1	lncRNA	1	1	0	0.1271	0.0386	0.0401
ENSG00000286875.1	AL121977.2	lncRNA	0	2	2	0.0000	0.0000	0.0000
ENSG00000286876.1	AC069540.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286877.1	AC090510.4	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286878.1	AC100805.1	lncRNA	5	3	2	0.0715	0.0217	0.0226
ENSG00000286879.1	AC093639.3	lncRNA	1	0	1	0.0142	0.0043	0.0045
ENSG00000286880.1	AC005258.2	lncRNA	1	1	0	0.0335	0.0102	0.0106
ENSG00000286881.1	AL358780.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286882.1	AC116428.1	lncRNA	3	15	23	0.0962	0.0292	0.0304
ENSG00000286883.1	AC005041.5	lncRNA	0	1137	1140	0.0000	0.0000	0.0000
ENSG00000286884.1	AC012060.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286885.1	AL138824.1	lncRNA	9	3	6	0.1314	0.0399	0.0415
ENSG00000286886.1	AJ011931.2	lncRNA	2	2	0	0.0218	0.0066	0.0069
ENSG00000286887.1	AL355881.1	lncRNA	7	4	4	0.2390	0.0726	0.0754
ENSG00000286888.1	AC006427.2	lncRNA	2	2	0	0.0614	0.0187	0.0194
ENSG00000286889.1	AC096589.1	lncRNA	8	4	4	0.0683	0.0207	0.0216
ENSG00000286890.1	AC055840.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286891.1	AC080132.1	lncRNA	1	0	1	0.0038	0.0012	0.0012
ENSG00000286892.1	AC084212.1	lncRNA	1	0	1	0.0161	0.0049	0.0051
ENSG00000286893.1	AC015660.5	lncRNA	0	0	1	0.0000	0.0000	0.0000
ENSG00000286894.1	AC009141.1	lncRNA	2	2	0	0.0847	0.0257	0.0267
ENSG00000286895.1	AC092745.5	lncRNA	13	10	3	0.4895	0.1487	0.1545
ENSG00000286896.1	AC112236.3	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286897.1	AC090515.6	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286898.1	AL049569.2	lncRNA	0	372	282	0.0000	0.0000	0.0000
ENSG00000286899.1	AL139286.2	lncRNA	1	0	1	0.0228	0.0069	0.0072
ENSG00000286900.1	AL590235.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286901.1	Z69667.1	lncRNA	0	6	4	0.0000	0.0000	0.0000
ENSG00000286902.1	AP001595.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286903.1	AC078874.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286904.1	AC093675.1	lncRNA	40	23	30	2.3897	0.7257	0.7542
ENSG00000286905.1	AC108488.2	protein_coding	2	1	1	0.0296	0.0090	0.0093
ENSG00000286906.1	AL160154.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286907.1	AC123512.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286908.1	AC006459.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286909.1	AC024560.4	lncRNA	39	25	15	1.1009	0.3343	0.3475
ENSG00000286910.1	AC087269.3	lncRNA	1	1	0	0.0716	0.0218	0.0226
ENSG00000286911.1	AC009533.3	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286912.1	AC006008.1	lncRNA	33	11	22	1.2169	0.3696	0.3841
ENSG00000286913.1	AC092943.2	lncRNA	7	1	6	0.2079	0.0631	0.0656
ENSG00000286914.1	AL365214.3	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000286915.1	AC096992.3	lncRNA	0	0	0	0.0000	0.0000	0.0000
